ID;Idade;Genero;Escolaridade;Renda_Faixa;Regiao;Plataforma_Principal;Horas_Dia_Media;Dispositivo_Principal;Freq_Uso_Noticias;Confianca_Midia_1a10;Compartilha_Noticias;Assina_Jornal_Digital;Gasto_Mensal_Midia_R$;Satisfacao_Conteudo_1a10;Cluster_Sugerido
373;52;Masculino;Superior Incompleto;2-5 SM;Centro-Oeste;Facebook;3.6;Desktop;Raramente;6;Não;Não;95.24;10;Tradicional
374;46;Feminino;Fundamental;Até 2 SM;Norte;TikTok;2.9;Smartphone;Várias vezes ao dia;6;Não;Não;30.27;5;Info Seeker
375;60;Feminino;Médio;2-5 SM;Sudeste;YouTube;2.3;Smartphone;Várias vezes ao dia;9;Sim;Não;129.15;5;Consumidor Moderado
376;25;Masculino;Médio;10-20 SM;Norte;Instagram;3.9;Smartphone;Diariamente;7;Não;Não;43.21;7;Heavy Digital
377;45;Masculino;Médio;Até 2 SM;Sul;Instagram;1.5;Smartphone;Nunca;5;Sim;Não;75.2;5;Tradicional
378;37;Feminino;Superior Incompleto;2-5 SM;Norte;Spotify;2.4;Smartphone;Diariamente;5;Sim;Não;10.99;6;Info Seeker
379;61;Masculino;Médio;2-5 SM;Norte;Spotify;1.7;Smartphone;Semanalmente;9;Sim;Não;77.65;4;Tradicional
380;25;Masculino;Superior Completo;Até 2 SM;Nordeste;Globoplay;5.7;Smartphone;Nunca;7;Não;Sim;181.09;3;Info Seeker
381;24;Feminino;Superior Incompleto;5-10 SM;Sudeste;LinkedIn;3.9;Smartphone;Raramente;6;Sim;Não;19.32;8;Heavy Digital
382;27;Masculino;Superior Completo;10-20 SM;Norte;TikTok;2.5;Smartphone;Semanalmente;6;Não;Não;16.12;7;Tradicional
383;18;Feminino;Fundamental;Até 2 SM;Centro-Oeste;YouTube;3.9;Smartphone;Várias vezes ao dia;2;Não;Não;33.19;10;Consumidor Moderado
384;28;Masculino;Superior Incompleto;10-20 SM;Nordeste;Spotify;5.7;Smartphone;Raramente;7;Sim;Não;78.38;10;Tradicional
385;25;Feminino;Superior Incompleto;Até 2 SM;Nordeste;TikTok;2.9;Smartphone;Diariamente;7;Sim;Não;137.41;5;Info Seeker
386;36;Masculino;Superior Incompleto;2-5 SM;Nordeste;YouTube;5.7;Smartphone;Nunca;4;Não;Não;48.43;5;Consumidor Moderado
387;39;Masculino;Médio;Até 2 SM;Sul;Facebook;3.6;Smart TV;Diariamente;5;Sim;Não;148.71;8;Tradicional
388;57;Feminino;Fundamental;Até 2 SM;Nordeste;Facebook;1.5;Tablet;Raramente;9;Sim;Não;165.85;3;Consumidor Moderado
389;46;Feminino;Superior Completo;2-5 SM;Norte;WhatsApp;1.2;Smart TV;Semanalmente;8;Sim;Não;8.9;7;Heavy Digital
390;28;Masculino;Pós-Graduação;2-5 SM;Nordeste;LinkedIn;2.7;Smartphone;Raramente;6;Não;Não;47.53;10;Info Seeker
391;24;Outro;Superior Completo;Até 2 SM;Nordeste;YouTube;6.3;Smartphone;Semanalmente;4;Não;Sim;118.63;9;Consumidor Moderado
392;40;Feminino;Superior Incompleto;Até 2 SM;Centro-Oeste;LinkedIn;1.5;Smartphone;Raramente;5;Não;Sim;69.53;5;Tradicional
393;19;Feminino;Pós-Graduação;5-10 SM;Nordeste;WhatsApp;5.9;Smartphone;Nunca;5;Sim;Não;109.26;4;Consumidor Moderado
394;56;Masculino;Superior Incompleto;5-10 SM;Sudeste;Netflix;2.0;Smartphone;Semanalmente;8;Não;Não;168.13;6;Consumidor Moderado
395;49;Outro;Médio;2-5 SM;Norte;WhatsApp;2.7;Notebook;Diariamente;5;Não;Não;170.06;4;Consumidor Moderado
396;29;Feminino;Médio;2-5 SM;Norte;WhatsApp;5.4;Smartphone;Várias vezes ao dia;6;Não;Não;67.18;3;Heavy Digital
397;18;Masculino;Médio;2-5 SM;Nordeste;Facebook;5.4;Desktop;Semanalmente;4;Não;Sim;31.08;3;Heavy Digital
398;51;Feminino;Médio;2-5 SM;Sudeste;WhatsApp;1.3;Smartphone;Diariamente;5;Não;Não;115.76;5;Tradicional
399;33;Masculino;Médio;5-10 SM;Sul;Facebook;4.5;Notebook;Diariamente;7;Não;Não;152.17;9;Tradicional
400;49;Feminino;Médio;10-20 SM;Nordeste;YouTube;3.3;Smartphone;Nunca;4;Não;Não;20.96;9;Info Seeker
401;18;Feminino;Fundamental;2-5 SM;Norte;TikTok;5.9;Notebook;Semanalmente;6;Sim;Não;78.81;5;Consumidor Moderado
402;27;Masculino;Médio;Até 2 SM;Centro-Oeste;X/Twitter;3.3;Smartphone;Diariamente;4;Não;Não;142.17;10;Heavy Digital
403;35;Masculino;Médio;5-10 SM;Nordeste;Instagram;3.3;Smartphone;Nunca;5;Sim;Não;113.34;10;Consumidor Moderado
404;35;Feminino;Pós-Graduação;5-10 SM;Norte;Instagram;4.7;Smartphone;Nunca;5;Sim;Não;59.23;8;Info Seeker
405;29;Feminino;Pós-Graduação;5-10 SM;Sudeste;Instagram;3.7;Smartphone;Diariamente;3;Não;Não;148.77;10;Heavy Digital
406;42;Feminino;Superior Incompleto;Até 2 SM;Norte;Instagram;1.3;Notebook;Nunca;5;Não;Não;194.68;8;Info Seeker
407;22;Feminino;Superior Completo;2-5 SM;Nordeste;WhatsApp;7.7;Smart TV;Várias vezes ao dia;5;Não;Não;147.48;9;Tradicional
408;33;Masculino;Pós-Graduação;2-5 SM;Centro-Oeste;YouTube;4.5;Desktop;Nunca;7;Sim;Sim;36.76;6;Consumidor Moderado
409;36;Feminino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;4.3;Notebook;Semanalmente;5;Sim;Não;194.77;7;Tradicional
410;41;Masculino;Superior Completo;5-10 SM;Norte;YouTube;1.6;Smartphone;Diariamente;7;Sim;Não;135.95;5;Info Seeker
411;43;Masculino;Superior Incompleto;5-10 SM;Norte;LinkedIn;3.4;Tablet;Nunca;7;Sim;Não;88.75;4;Consumidor Moderado
412;21;Feminino;Superior Completo;2-5 SM;Norte;Instagram;3.9;Smartphone;Diariamente;4;Sim;Não;4.88;8;Heavy Digital
413;18;Feminino;Pós-Graduação;5-10 SM;Sudeste;Instagram;4.1;Smart TV;Várias vezes ao dia;5;Não;Não;121.09;4;Info Seeker
414;50;Masculino;Superior Completo;5-10 SM;Centro-Oeste;YouTube;3.4;Tablet;Diariamente;6;Sim;Não;101.18;5;Consumidor Moderado
415;38;Feminino;Superior Completo;Até 2 SM;Norte;WhatsApp;3.6;Smartphone;Nunca;7;Sim;Não;118.37;7;Consumidor Moderado
416;26;Feminino;Médio;Até 2 SM;Sul;Facebook;2.7;Notebook;Nunca;7;Não;Não;151.31;4;Consumidor Moderado
417;53;Masculino;Pós-Graduação;2-5 SM;Nordeste;WhatsApp;1.9;Notebook;Semanalmente;8;Sim;Não;103.46;9;Heavy Digital
418;36;Masculino;Médio;5-10 SM;Sudeste;TikTok;4.8;Smartphone;Diariamente;6;Sim;Não;96.82;6;Consumidor Moderado
419;49;Masculino;Superior Completo;10-20 SM;Norte;Instagram;3.1;Smartphone;Diariamente;7;Não;Sim;90.69;7;Info Seeker
420;35;Masculino;Superior Incompleto;2-5 SM;Norte;Facebook;4.5;Smartphone;Várias vezes ao dia;6;Sim;Não;33.94;6;Heavy Digital
421;59;Feminino;Pós-Graduação;2-5 SM;Nordeste;Globoplay;2.3;Notebook;Nunca;8;Sim;Não;192.91;3;Info Seeker
422;56;Masculino;Pós-Graduação;2-5 SM;Norte;Facebook;1.3;Smartphone;Várias vezes ao dia;7;Sim;Não;86.89;7;Tradicional
423;32;Masculino;Superior Completo;2-5 SM;Sul;LinkedIn;5.6;Desktop;Raramente;5;Sim;Não;83.63;3;Consumidor Moderado
424;46;Feminino;Médio;2-5 SM;Norte;YouTube;2.1;Notebook;Diariamente;4;Não;Não;32.09;5;Heavy Digital
425;42;Feminino;Médio;5-10 SM;Centro-Oeste;Instagram;2.9;Smartphone;Semanalmente;7;Não;Não;72.95;4;Info Seeker
426;51;Feminino;Superior Incompleto;2-5 SM;Nordeste;Netflix;2.4;Desktop;Nunca;5;Sim;Não;129.43;7;Heavy Digital
427;23;Feminino;Fundamental;2-5 SM;Sul;YouTube;5.1;Smartphone;Raramente;3;Sim;Não;127.38;8;Consumidor Moderado
428;43;Masculino;Superior Incompleto;2-5 SM;Centro-Oeste;Facebook;3.8;Smartphone;Diariamente;4;Não;Não;47.09;3;Tradicional
429;47;Masculino;Superior Completo;Até 2 SM;Sul;WhatsApp;1.5;Notebook;Nunca;6;Sim;Não;62.45;4;Consumidor Moderado
430;18;Feminino;Superior Incompleto;2-5 SM;Norte;YouTube;4.6;Smartphone;Diariamente;2;Não;Não;98.92;3;Consumidor Moderado
431;20;Feminino;Superior Incompleto;10-20 SM;Nordeste;YouTube;6.7;Smartphone;Semanalmente;5;Sim;Não;76.07;6;Heavy Digital
432;18;Feminino;Superior Completo;2-5 SM;Nordeste;WhatsApp;6.3;Notebook;Várias vezes ao dia;5;Não;Não;131.12;4;Tradicional
433;31;Masculino;Superior Completo;Até 2 SM;Nordeste;Instagram;2.7;Notebook;Semanalmente;4;Sim;Não;99.8;5;Consumidor Moderado
434;43;Masculino;Superior Completo;2-5 SM;Nordeste;Instagram;1.4;Smartphone;Nunca;6;Não;Sim;156.61;4;Consumidor Moderado
435;53;Masculino;Superior Incompleto;5-10 SM;Centro-Oeste;Netflix;3.5;Smart TV;Semanalmente;7;Sim;Não;37.56;3;Consumidor Moderado
436;35;Masculino;Pós-Graduação;Até 2 SM;Nordeste;YouTube;4.8;Smartphone;Raramente;5;Sim;Não;188.7;7;Info Seeker
437;54;Masculino;Médio;Até 2 SM;Norte;WhatsApp;2.7;Smartphone;Diariamente;4;Sim;Não;23.5;3;Consumidor Moderado
438;18;Feminino;Fundamental;2-5 SM;Nordeste;WhatsApp;6.3;Notebook;Diariamente;4;Não;Não;186.53;10;Tradicional
439;18;Masculino;Superior Completo;Até 2 SM;Sul;LinkedIn;7.9;Desktop;Várias vezes ao dia;3;Não;Não;183.31;10;Heavy Digital
440;34;Feminino;Superior Incompleto;Até 2 SM;Sul;LinkedIn;5.3;Smartphone;Várias vezes ao dia;3;Não;Não;113.8;6;Heavy Digital
441;39;Masculino;Fundamental;5-10 SM;Centro-Oeste;TikTok;4.5;Smartphone;Várias vezes ao dia;7;Sim;Não;183.68;6;Info Seeker
442;34;Feminino;Superior Completo;2-5 SM;Sudeste;Facebook;5.6;Notebook;Semanalmente;4;Sim;Não;61.92;4;Info Seeker
443;18;Feminino;Superior Incompleto;Até 2 SM;Nordeste;TikTok;3.9;Smartphone;Nunca;4;Não;Não;32.51;3;Tradicional
444;33;Masculino;Médio;2-5 SM;Sudeste;WhatsApp;3.0;Smartphone;Várias vezes ao dia;7;Sim;Sim;8.88;3;Tradicional
445;19;Feminino;Médio;Até 2 SM;Nordeste;TikTok;6.8;Smartphone;Nunca;3;Não;Não;175.52;4;Heavy Digital
446;43;Masculino;Médio;Acima 20 SM;Sul;WhatsApp;1.7;Desktop;Semanalmente;8;Não;Sim;35.6;7;Consumidor Moderado
447;39;Masculino;Superior Incompleto;2-5 SM;Centro-Oeste;WhatsApp;4.3;Notebook;Diariamente;4;Sim;Sim;184.57;8;Tradicional
448;23;Feminino;Médio;2-5 SM;Nordeste;WhatsApp;5.8;Smartphone;Várias vezes ao dia;4;Não;Não;109.87;10;Heavy Digital
449;28;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Facebook;2.7;Smartphone;Semanalmente;6;Não;Não;187.64;6;Consumidor Moderado
450;22;Feminino;Médio;Até 2 SM;Norte;Netflix;4.0;Notebook;Diariamente;2;Não;Sim;197.45;10;Heavy Digital
451;34;Feminino;Médio;2-5 SM;Sudeste;LinkedIn;3.8;Smartphone;Várias vezes ao dia;5;Não;Não;154.02;6;Heavy Digital
452;46;Masculino;Superior Incompleto;5-10 SM;Norte;LinkedIn;1.5;Notebook;Diariamente;4;Sim;Sim;57.13;5;Heavy Digital
453;23;Feminino;Superior Completo;10-20 SM;Centro-Oeste;Instagram;4.8;Smart TV;Semanalmente;4;Sim;Sim;190.88;8;Info Seeker
454;41;Feminino;Fundamental;Até 2 SM;Nordeste;Facebook;3.2;Smartphone;Diariamente;6;Não;Não;39.19;10;Tradicional
455;28;Feminino;Superior Completo;2-5 SM;Sul;Globoplay;2.7;Smartphone;Semanalmente;6;Não;Não;116.71;8;Tradicional
456;25;Masculino;Médio;5-10 SM;Nordeste;X/Twitter;3.3;Smartphone;Nunca;7;Não;Não;184.68;8;Heavy Digital
457;33;Masculino;Pós-Graduação;2-5 SM;Centro-Oeste;WhatsApp;2.0;Smartphone;Várias vezes ao dia;7;Sim;Sim;52.47;10;Tradicional
458;22;Feminino;Superior Incompleto;Até 2 SM;Nordeste;X/Twitter;5.7;Smart TV;Raramente;4;Sim;Não;163.78;5;Consumidor Moderado
459;28;Feminino;Médio;10-20 SM;Nordeste;X/Twitter;2.4;Notebook;Diariamente;4;Sim;Não;36.1;5;Heavy Digital
460;20;Masculino;Superior Completo;5-10 SM;Nordeste;WhatsApp;4.1;Smartphone;Raramente;2;Não;Não;26.88;10;Consumidor Moderado
461;58;Feminino;Médio;10-20 SM;Sudeste;Globoplay;1.2;Notebook;Semanalmente;7;Não;Sim;119.47;8;Consumidor Moderado
462;35;Masculino;Pós-Graduação;Acima 20 SM;Nordeste;LinkedIn;4.4;Smartphone;Nunca;7;Não;Não;121.82;4;Consumidor Moderado
463;26;Feminino;Médio;2-5 SM;Centro-Oeste;YouTube;3.4;Smartphone;Semanalmente;7;Sim;Não;114.27;3;Heavy Digital
464;37;Masculino;Superior Completo;Até 2 SM;Norte;WhatsApp;3.2;Smartphone;Nunca;7;Sim;Não;170.12;4;Info Seeker
465;33;Feminino;Médio;5-10 SM;Nordeste;YouTube;2.0;Notebook;Raramente;5;Não;Não;12.32;8;Tradicional
466;32;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;X/Twitter;2.8;Smartphone;Semanalmente;5;Sim;Não;180.97;4;Info Seeker
467;42;Masculino;Superior Incompleto;5-10 SM;Nordeste;Facebook;3.8;Smartphone;Diariamente;7;Sim;Sim;74.65;4;Consumidor Moderado
468;44;Masculino;Superior Incompleto;2-5 SM;Norte;Facebook;2.7;Smartphone;Raramente;7;Não;Não;75.81;3;Info Seeker
469;28;Feminino;Médio;5-10 SM;Norte;TikTok;5.6;Desktop;Diariamente;6;Não;Não;172.45;6;Consumidor Moderado
470;28;Feminino;Médio;Acima 20 SM;Nordeste;YouTube;5.1;Smartphone;Várias vezes ao dia;5;Não;Não;169.31;5;Consumidor Moderado
471;31;Feminino;Superior Completo;Até 2 SM;Norte;Facebook;5.3;Smartphone;Várias vezes ao dia;6;Não;Não;99.47;4;Heavy Digital
472;18;Feminino;Fundamental;2-5 SM;Nordeste;WhatsApp;4.8;Tablet;Semanalmente;2;Não;Não;76.75;4;Consumidor Moderado
473;18;Masculino;Médio;2-5 SM;Nordeste;TikTok;6.5;Notebook;Raramente;6;Sim;Não;113.42;7;Consumidor Moderado
474;51;Feminino;Superior Incompleto;10-20 SM;Norte;YouTube;2.6;Smartphone;Nunca;7;Sim;Não;137.7;4;Heavy Digital
475;54;Feminino;Pós-Graduação;Até 2 SM;Sudeste;YouTube;2.4;Smartphone;Diariamente;6;Sim;Sim;181.05;3;Tradicional
476;32;Feminino;Superior Completo;Até 2 SM;Nordeste;X/Twitter;2.6;Notebook;Raramente;7;Não;Não;8.19;4;Heavy Digital
477;41;Feminino;Médio;Até 2 SM;Nordeste;YouTube;1.2;Smartphone;Semanalmente;8;Não;Não;172.31;4;Tradicional
478;38;Masculino;Médio;2-5 SM;Nordeste;X/Twitter;5.1;Smartphone;Várias vezes ao dia;3;Não;Não;133.72;8;Info Seeker
479;71;Feminino;Médio;Até 2 SM;Sudeste;Instagram;2.4;Smartphone;Várias vezes ao dia;6;Não;Não;156.24;6;Info Seeker
480;48;Masculino;Fundamental;Acima 20 SM;Sudeste;Instagram;2.5;Smart TV;Semanalmente;6;Não;Não;34.11;4;Consumidor Moderado
481;33;Masculino;Superior Incompleto;5-10 SM;Sudeste;YouTube;3.4;Smartphone;Semanalmente;3;Não;Não;185.49;10;Tradicional
482;23;Masculino;Médio;2-5 SM;Sul;YouTube;4.4;Notebook;Raramente;3;Sim;Não;189.0;5;Consumidor Moderado
483;18;Masculino;Superior Completo;2-5 SM;Nordeste;X/Twitter;6.3;Desktop;Raramente;5;Sim;Não;23.25;6;Info Seeker
484;37;Masculino;Médio;2-5 SM;Sudeste;Instagram;5.4;Smartphone;Nunca;3;Sim;Não;163.97;4;Info Seeker
485;25;Masculino;Médio;10-20 SM;Nordeste;YouTube;5.8;Notebook;Nunca;7;Sim;Não;93.24;5;Tradicional
486;18;Outro;Superior Completo;2-5 SM;Nordeste;Instagram;5.4;Smartphone;Diariamente;4;Não;Não;188.26;9;Consumidor Moderado
487;27;Feminino;Superior Incompleto;5-10 SM;Nordeste;YouTube;3.2;Notebook;Diariamente;5;Sim;Não;102.32;9;Consumidor Moderado
488;22;Masculino;Fundamental;Até 2 SM;Sudeste;X/Twitter;7.4;Smartphone;Nunca;6;Sim;Sim;187.83;4;Heavy Digital
489;55;Masculino;Superior Incompleto;2-5 SM;Norte;LinkedIn;2.2;Smartphone;Raramente;8;Não;Sim;155.44;10;Tradicional
490;45;Masculino;Pós-Graduação;Acima 20 SM;Centro-Oeste;YouTube;1.5;Smart TV;Várias vezes ao dia;6;Não;Não;135.48;7;Tradicional
491;34;Feminino;Pós-Graduação;10-20 SM;Nordeste;YouTube;2.5;Smartphone;Semanalmente;4;Não;Não;69.11;10;Heavy Digital
492;52;Masculino;Pós-Graduação;2-5 SM;Norte;Instagram;2.3;Notebook;Nunca;5;Não;Não;41.95;8;Heavy Digital
493;35;Feminino;Superior Incompleto;2-5 SM;Norte;WhatsApp;5.7;Smart TV;Diariamente;4;Não;Não;31.82;4;Consumidor Moderado
494;24;Feminino;Superior Completo;2-5 SM;Centro-Oeste;Facebook;6.9;Smartphone;Nunca;4;Não;Não;103.18;4;Consumidor Moderado
495;53;Masculino;Médio;5-10 SM;Norte;LinkedIn;2.8;Notebook;Diariamente;6;Sim;Não;0.41;7;Heavy Digital
496;41;Masculino;Superior Completo;Até 2 SM;Norte;Netflix;3.2;Smartphone;Raramente;6;Não;Não;88.96;3;Consumidor Moderado
497;22;Masculino;Médio;5-10 SM;Norte;Spotify;5.8;Desktop;Várias vezes ao dia;3;Não;Não;16.21;10;Heavy Digital
498;32;Masculino;Superior Incompleto;5-10 SM;Centro-Oeste;Instagram;2.5;Smartphone;Diariamente;4;Sim;Não;47.82;3;Info Seeker
499;24;Masculino;Superior Completo;2-5 SM;Norte;LinkedIn;3.4;Notebook;Nunca;3;Não;Sim;60.66;4;Consumidor Moderado
500;18;Feminino;Pós-Graduação;Até 2 SM;Nordeste;X/Twitter;6.3;Notebook;Diariamente;5;Não;Não;114.11;4;Consumidor Moderado
501;46;Feminino;Superior Incompleto;2-5 SM;Norte;Netflix;1.6;Notebook;Várias vezes ao dia;4;Sim;Não;182.83;4;Info Seeker
502;57;Feminino;Superior Incompleto;2-5 SM;Nordeste;Instagram;1.6;Smartphone;Diariamente;5;Sim;Não;67.9;10;Consumidor Moderado
503;18;Feminino;Superior Completo;2-5 SM;Norte;Globoplay;3.1;Tablet;Diariamente;5;Não;Não;94.96;6;Consumidor Moderado
504;41;Feminino;Superior Incompleto;5-10 SM;Sudeste;WhatsApp;2.9;Smartphone;Várias vezes ao dia;4;Não;Não;9.49;5;Heavy Digital
505;27;Masculino;Pós-Graduação;2-5 SM;Sudeste;LinkedIn;4.1;Smartphone;Várias vezes ao dia;4;Sim;Não;104.26;3;Tradicional
506;29;Masculino;Médio;2-5 SM;Centro-Oeste;Netflix;4.9;Smartphone;Raramente;3;Não;Não;111.4;5;Tradicional
507;27;Masculino;Superior Completo;5-10 SM;Nordeste;LinkedIn;2.6;Smartphone;Semanalmente;4;Não;Não;15.37;4;Consumidor Moderado
508;24;Masculino;Médio;2-5 SM;Centro-Oeste;LinkedIn;7.8;Notebook;Semanalmente;2;Sim;Não;88.19;7;Consumidor Moderado
509;35;Masculino;Pós-Graduação;2-5 SM;Nordeste;LinkedIn;5.0;Smartphone;Semanalmente;4;Não;Não;55.5;8;Info Seeker
510;25;Feminino;Médio;Até 2 SM;Sudeste;Netflix;5.0;Notebook;Raramente;5;Sim;Não;73.24;10;Consumidor Moderado
511;38;Feminino;Pós-Graduação;10-20 SM;Centro-Oeste;YouTube;3.9;Smartphone;Diariamente;7;Sim;Não;102.32;10;Info Seeker
512;34;Masculino;Superior Completo;Até 2 SM;Sudeste;Instagram;3.7;Tablet;Nunca;3;Sim;Não;19.17;8;Consumidor Moderado
513;32;Feminino;Médio;5-10 SM;Nordeste;YouTube;2.4;Smartphone;Várias vezes ao dia;3;Não;Não;109.61;6;Consumidor Moderado
514;24;Feminino;Pós-Graduação;2-5 SM;Sul;WhatsApp;7.5;Smartphone;Nunca;6;Sim;Não;89.79;10;Consumidor Moderado
515;28;Feminino;Fundamental;5-10 SM;Centro-Oeste;X/Twitter;5.7;Smartphone;Raramente;7;Não;Não;65.32;7;Consumidor Moderado
516;44;Feminino;Pós-Graduação;2-5 SM;Nordeste;Netflix;2.6;Tablet;Raramente;4;Não;Não;36.26;8;Heavy Digital
517;41;Feminino;Superior Incompleto;2-5 SM;Nordeste;WhatsApp;2.0;Notebook;Nunca;4;Sim;Sim;169.22;6;Tradicional
518;23;Feminino;Superior Completo;2-5 SM;Nordeste;Facebook;5.1;Smartphone;Semanalmente;2;Sim;Não;21.1;3;Tradicional
519;36;Feminino;Superior Completo;Até 2 SM;Sul;LinkedIn;5.8;Smartphone;Nunca;5;Não;Não;11.12;6;Info Seeker
520;44;Masculino;Superior Completo;Até 2 SM;Nordeste;Facebook;1.7;Smartphone;Raramente;4;Sim;Não;124.36;10;Heavy Digital
521;18;Feminino;Médio;2-5 SM;Sudeste;X/Twitter;6.3;Smartphone;Várias vezes ao dia;2;Sim;Não;44.43;7;Heavy Digital
522;41;Feminino;Pós-Graduação;2-5 SM;Norte;WhatsApp;3.5;Notebook;Várias vezes ao dia;4;Não;Não;91.77;3;Consumidor Moderado
523;27;Feminino;Médio;2-5 SM;Nordeste;LinkedIn;2.9;Notebook;Diariamente;4;Sim;Não;98.07;9;Info Seeker
524;41;Feminino;Superior Completo;2-5 SM;Norte;Instagram;3.9;Smartphone;Nunca;8;Não;Sim;102.73;5;Consumidor Moderado
525;25;Feminino;Médio;Até 2 SM;Norte;Facebook;3.6;Smart TV;Diariamente;3;Não;Sim;99.93;3;Heavy Digital
526;18;Masculino;Médio;5-10 SM;Nordeste;WhatsApp;3.7;Tablet;Nunca;2;Sim;Sim;149.04;4;Info Seeker
527;18;Feminino;Superior Completo;2-5 SM;Norte;Instagram;7.6;Desktop;Nunca;6;Sim;Não;183.18;9;Tradicional
528;35;Masculino;Médio;Até 2 SM;Nordeste;LinkedIn;2.2;Desktop;Raramente;3;Sim;Sim;29.96;5;Consumidor Moderado
529;38;Feminino;Superior Incompleto;2-5 SM;Sudeste;TikTok;5.1;Smartphone;Diariamente;7;Sim;Não;96.94;5;Info Seeker
530;24;Masculino;Médio;Acima 20 SM;Centro-Oeste;X/Twitter;6.9;Notebook;Diariamente;6;Não;Sim;103.65;5;Info Seeker
531;42;Masculino;Superior Incompleto;2-5 SM;Norte;LinkedIn;2.9;Desktop;Semanalmente;4;Sim;Não;58.88;7;Tradicional
532;18;Masculino;Médio;2-5 SM;Nordeste;YouTube;4.2;Smartphone;Nunca;4;Sim;Não;168.77;6;Heavy Digital
533;34;Feminino;Superior Completo;Até 2 SM;Nordeste;Instagram;2.4;Smartphone;Nunca;4;Sim;Não;146.41;10;Consumidor Moderado
534;20;Feminino;Superior Incompleto;Até 2 SM;Nordeste;LinkedIn;3.9;Smartphone;Semanalmente;5;Não;Não;139.59;9;Consumidor Moderado
535;27;Masculino;Superior Completo;10-20 SM;Nordeste;X/Twitter;3.7;Notebook;Raramente;7;Não;Não;121.99;4;Info Seeker
536;35;Masculino;Superior Incompleto;5-10 SM;Norte;Instagram;5.2;Notebook;Semanalmente;6;Não;Não;127.59;7;Tradicional
537;24;Masculino;Superior Completo;2-5 SM;Norte;YouTube;5.3;Smartphone;Diariamente;2;Sim;Não;149.28;6;Tradicional
538;30;Masculino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;5.4;Smartphone;Raramente;4;Sim;Não;151.24;7;Heavy Digital
539;47;Outro;Superior Completo;2-5 SM;Nordeste;LinkedIn;3.3;Smartphone;Várias vezes ao dia;6;Sim;Não;144.02;5;Tradicional
540;28;Masculino;Pós-Graduação;Até 2 SM;Nordeste;YouTube;3.7;Smart TV;Diariamente;7;Não;Não;196.04;7;Tradicional
541;45;Masculino;Superior Completo;Acima 20 SM;Sudeste;LinkedIn;1.7;Desktop;Nunca;7;Não;Não;83.08;8;Tradicional
542;21;Feminino;Pós-Graduação;Acima 20 SM;Norte;YouTube;6.0;Desktop;Nunca;3;Não;Sim;46.55;10;Tradicional
543;41;Feminino;Superior Incompleto;Até 2 SM;Norte;LinkedIn;1.2;Smart TV;Várias vezes ao dia;6;Sim;Sim;149.74;4;Tradicional
544;52;Feminino;Médio;Até 2 SM;Norte;YouTube;1.2;Smartphone;Raramente;5;Não;Não;67.58;4;Consumidor Moderado
545;18;Masculino;Superior Incompleto;5-10 SM;Nordeste;YouTube;6.2;Desktop;Diariamente;2;Sim;Não;12.87;4;Heavy Digital
546;25;Masculino;Médio;2-5 SM;Norte;WhatsApp;3.1;Smartphone;Várias vezes ao dia;4;Não;Não;113.17;5;Consumidor Moderado
547;41;Masculino;Pós-Graduação;10-20 SM;Norte;Facebook;2.7;Tablet;Raramente;8;Sim;Não;128.27;4;Consumidor Moderado
548;32;Feminino;Superior Incompleto;10-20 SM;Norte;X/Twitter;3.8;Tablet;Várias vezes ao dia;4;Sim;Não;195.35;5;Consumidor Moderado
549;39;Feminino;Superior Completo;5-10 SM;Nordeste;Instagram;2.9;Tablet;Semanalmente;6;Não;Não;40.36;4;Consumidor Moderado
550;27;Feminino;Superior Completo;10-20 SM;Nordeste;Facebook;2.5;Tablet;Semanalmente;7;Não;Não;51.91;7;Consumidor Moderado
551;36;Feminino;Superior Completo;5-10 SM;Sudeste;Instagram;4.0;Smartphone;Nunca;7;Não;Não;188.52;5;Heavy Digital
552;33;Masculino;Superior Completo;Até 2 SM;Sudeste;YouTube;3.4;Smartphone;Várias vezes ao dia;5;Sim;Não;122.22;4;Heavy Digital
553;49;Feminino;Médio;2-5 SM;Norte;Spotify;2.3;Desktop;Várias vezes ao dia;6;Não;Não;123.99;9;Consumidor Moderado
554;38;Feminino;Médio;2-5 SM;Nordeste;Globoplay;3.7;Desktop;Várias vezes ao dia;4;Sim;Não;178.96;8;Tradicional
555;39;Feminino;Médio;5-10 SM;Centro-Oeste;WhatsApp;5.4;Smartphone;Raramente;4;Não;Não;35.14;8;Heavy Digital
556;30;Masculino;Pós-Graduação;5-10 SM;Centro-Oeste;WhatsApp;5.4;Smartphone;Raramente;3;Sim;Não;133.41;8;Consumidor Moderado
557;29;Feminino;Médio;Até 2 SM;Norte;Instagram;3.2;Smartphone;Semanalmente;7;Sim;Não;177.18;10;Heavy Digital
558;29;Masculino;Pós-Graduação;5-10 SM;Norte;YouTube;5.8;Notebook;Várias vezes ao dia;7;Não;Não;156.69;7;Consumidor Moderado
559;39;Masculino;Pós-Graduação;Até 2 SM;Nordeste;X/Twitter;2.7;Smartphone;Semanalmente;6;Sim;Não;171.13;9;Heavy Digital
